    customer_id,tenure_months,monthly_charges,usage_drop_pct,support_tickets,days_since_last_purchase,contract_type,payment_method,churn
    CUST-10000,52,41.01,0.29,1,88,Month-to-Month,Electronic Check,1
    CUST-10001,15,35.39,0.07,4,24,One-Year,Bank Transfer,1
    CUST-10002,61,118.89,0.8,3,106,Month-to-Month,Bank Transfer,1
    CUST-10003,21,140.58,0.16,2,34,Month-to-Month,Bank Transfer,1
    CUST-10004,24,79.58,0.57,2,111,One-Year,Electronic Check,1
    CUST-10005,3,105.73,0.58,2,82,Month-to-Month,Bank Transfer,1
    CUST-10006,22,138.88,0.25,4,12,Two-Year,Bank Transfer,0
    CUST-10007,53,31.71,0.89,3,42,One-Year,Credit Card,1
    CUST-10008,2,120.16,0.06,3,103,One-Year,Bank Transfer,1
    CUST-10009,30,100.19,0.55,1,79,Month-to-Month,Electronic Check,1
    CUST-10010,38,97.82,0.43,2,111,Month-to-Month,Electronic Check,1
    CUST-10011,2,58.03,0.22,1,12,One-Year,Bank Transfer,0
    CUST-10012,64,108.91,0.15,2,29,One-Year,Credit Card,0
    CUST-10013,60,123.32,0.66,0,93,Month-to-Month,Bank Transfer,1
    CUST-10014,21,34.67,0.82,3,20,Month-to-Month,Electronic Check,1
    CUST-10015,33,89.36,0.1,1,79,Two-Year,Bank Transfer,0
    CUST-10016,58,33.16,0.17,1,3,One-Year,Credit Card,0
    CUST-10017,22,133.43,0.89,3,80,One-Year,Bank Transfer,1
    CUST-10018,49,85.99,0.01,1,61,Month-to-Month,Electronic Check,0
    CUST-10019,59,125.04,0.46,3,83,One-Year,Electronic Check,1
    CUST-10020,42,67.85,0.46,2,71,One-Year,Credit Card,1
    CUST-10021,60,36.26,0.24,3,113,Month-to-Month,Credit Card,1
    CUST-10022,15,25.39,0.6,4,100,Month-to-Month,Credit Card,1
    CUST-10023,62,56.6,0.85,0,22,Month-to-Month,Electronic Check,1
    CUST-10024,62,51.75,0.41,0,79,Month-to-Month,Bank Transfer,1
    CUST-10025,47,92.85,0.67,1,73,One-Year,Credit Card,1
    CUST-10026,62,22.83,0.58,5,17,Month-to-Month,Credit Card,1
    CUST-10027,51,87.67,0.43,3,97,Month-to-Month,Bank Transfer,1
    CUST-10028,55,70.93,0.04,1,2,One-Year,Bank Transfer,0
    CUST-10029,64,95.03,0.67,2,7,Month-to-Month,Credit Card,1
    CUST-10030,3,111.31,0.33,4,119,Month-to-Month,Bank Transfer,1
    CUST-10031,51,102.43,0.2,2,95,One-Year,Credit Card,1
    CUST-10032,7,148.0,0.85,1,14,One-Year,Credit Card,1
    CUST-10033,21,37.97,0.7,2,101,One-Year,Credit Card,1
    CUST-10034,39,75.87,0.87,3,4,One-Year,Bank Transfer,1
    CUST-10035,18,75.23,0.23,1,45,One-Year,Credit Card,0
    CUST-10036,4,74.22,0.75,3,63,Two-Year,Bank Transfer,1
    CUST-10037,60,106.29,0.55,0,10,Two-Year,Electronic Check,0
    CUST-10038,14,83.68,0.88,3,45,One-Year,Bank Transfer,1
    CUST-10039,9,87.27,0.85,1,86,One-Year,Bank Transfer,1
    CUST-10040,53,76.21,0.88,0,88,Two-Year,Electronic Check,1
    CUST-10041,2,148.92,0.86,2,44,Month-to-Month,Electronic Check,1
    CUST-10042,60,140.58,0.01,2,55,Month-to-Month,Credit Card,1
    CUST-10043,71,60.0,0.67,4,18,Two-Year,Electronic Check,0
    CUST-10044,44,34.51,0.24,3,11,Two-Year,Bank Transfer,0
    CUST-10045,8,129.17,0.63,2,114,Two-Year,Credit Card,1
    CUST-10046,47,149.63,0.88,2,54,Two-Year,Credit Card,1
    CUST-10047,35,58.04,0.04,0,108,Month-to-Month,Electronic Check,1
    CUST-10048,36,66.51,0.51,1,1,Two-Year,Electronic Check,0
    CUST-10049,50,142.41,0.66,2,53,Month-to-Month,Electronic Check,1
    CUST-10050,4,112.45,0.23,2,96,Two-Year,Credit Card,1
    CUST-10051,2,58.43,0.2,1,80,One-Year,Credit Card,1
    CUST-10052,6,95.54,0.05,4,78,Month-to-Month,Electronic Check,1
    CUST-10053,54,142.75,0.08,1,33,One-Year,Credit Card,0
    CUST-10054,4,125.54,0.59,4,7,Month-to-Month,Credit Card,1
    CUST-10055,54,116.44,0.45,1,83,Month-to-Month,Credit Card,1
    CUST-10056,63,115.81,0.03,2,25,Month-to-Month,Credit Card,0
    CUST-10057,18,43.14,0.87,1,69,Month-to-Month,Credit Card,1
    CUST-10058,44,127.21,0.59,1,49,One-Year,Bank Transfer,0
    CUST-10059,34,55.9,0.46,1,74,Month-to-Month,Credit Card,1
    CUST-10060,62,140.95,0.25,4,4,Two-Year,Electronic Check,0
    CUST-10061,14,67.4,0.59,2,24,Month-to-Month,Credit Card,1
    CUST-10062,48,131.5,0.33,1,46,Two-Year,Credit Card,0
    CUST-10063,15,54.61,0.63,0,119,Two-Year,Electronic Check,1
    CUST-10064,62,86.89,0.61,2,70,Month-to-Month,Bank Transfer,1
    CUST-10065,40,33.9,0.08,4,12,Month-to-Month,Electronic Check,1
    CUST-10066,53,105.82,0.82,0,62,Month-to-Month,Electronic Check,1
    CUST-10067,24,128.69,0.44,1,84,Two-Year,Electronic Check,1
    CUST-10068,26,113.4,0.35,1,90,Two-Year,Credit Card,0
    CUST-10069,60,88.02,0.86,2,76,Month-to-Month,Credit Card,1
    CUST-10070,41,25.87,0.39,2,62,Month-to-Month,Credit Card,1
    CUST-10071,29,141.35,0.65,1,97,Two-Year,Electronic Check,1
    CUST-10072,15,111.71,0.59,1,62,One-Year,Credit Card,1
    CUST-10073,45,116.96,0.15,6,76,Month-to-Month,Bank Transfer,1
    CUST-10074,65,123.31,0.89,1,58,Two-Year,Credit Card,1
    CUST-10075,71,117.21,0.42,1,38,Two-Year,Credit Card,0
    CUST-10076,9,77.35,0.36,3,68,Month-to-Month,Electronic Check,1
    CUST-10077,1,115.37,0.83,0,17,Month-to-Month,Bank Transfer,1
    CUST-10078,8,101.25,0.48,1,10,Two-Year,Bank Transfer,1
    CUST-10079,63,131.02,0.63,1,83,One-Year,Bank Transfer,1
    CUST-10080,11,124.32,0.76,4,43,Two-Year,Credit Card,1
    CUST-10081,8,25.38,0.21,1,33,Two-Year,Bank Transfer,0
    CUST-10082,35,69.26,0.15,1,37,Month-to-Month,Electronic Check,1
    CUST-10083,35,24.51,0.06,3,28,One-Year,Bank Transfer,0
    CUST-10084,33,33.27,0.81,0,46,One-Year,Credit Card,1
    CUST-10085,5,98.18,0.18,5,109,Month-to-Month,Bank Transfer,1
    CUST-10086,41,133.6,0.28,1,2,Month-to-Month,Bank Transfer,1
    CUST-10087,28,35.58,0.26,4,46,One-Year,Electronic Check,1
    CUST-10088,7,78.64,0.27,2,38,Month-to-Month,Bank Transfer,1
    CUST-10089,12,138.41,0.6,3,38,Month-to-Month,Credit Card,1
    CUST-10090,34,125.86,0.86,3,21,Month-to-Month,Credit Card,1
    CUST-10091,33,87.56,0.3,3,23,One-Year,Bank Transfer,0
    CUST-10092,48,120.3,0.37,1,33,Month-to-Month,Electronic Check,0
    CUST-10093,23,87.95,0.69,1,90,Two-Year,Electronic Check,1
    CUST-10094,62,40.55,0.39,1,116,Month-to-Month,Credit Card,1
    CUST-10095,37,36.22,0.83,2,43,Two-Year,Electronic Check,1
    CUST-10096,44,44.49,0.45,3,118,Month-to-Month,Bank Transfer,1
    CUST-10097,35,65.62,0.31,1,94,One-Year,Electronic Check,0
    CUST-10098,65,140.97,0.87,1,68,Month-to-Month,Electronic Check,1
    CUST-10099,47,123.96,0.38,3,70,Two-Year,Credit Card,1
    CUST-10100,3,76.26,0.21,3,98,Two-Year,Bank Transfer,1
    CUST-10101,1,84.1,0.16,3,64,Two-Year,Credit Card,1
    CUST-10102,5,54.53,0.9,0,84,One-Year,Electronic Check,1
    CUST-10103,14,111.57,0.68,4,64,Month-to-Month,Credit Card,1
    CUST-10104,27,124.36,0.37,1,37,One-Year,Electronic Check,0
    CUST-10105,9,51.06,0.74,2,79,Two-Year,Credit Card,1
    CUST-10106,15,25.44,0.49,5,119,One-Year,Electronic Check,1
    CUST-10107,42,101.11,0.29,0,104,Two-Year,Credit Card,0
    CUST-10108,51,93.13,0.67,3,113,Month-to-Month,Electronic Check,1
    CUST-10109,63,72.28,0.67,2,23,Two-Year,Bank Transfer,0
    CUST-10110,52,103.71,0.45,4,106,One-Year,Credit Card,1
    CUST-10111,4,91.58,0.04,3,73,Two-Year,Electronic Check,1
    CUST-10112,23,52.58,0.07,2,34,One-Year,Electronic Check,0
    CUST-10113,15,71.7,0.71,0,107,Month-to-Month,Bank Transfer,1
    CUST-10114,43,75.65,0.74,3,34,One-Year,Electronic Check,1
    CUST-10115,29,134.43,0.61,1,27,Two-Year,Credit Card,1
    CUST-10116,36,144.92,0.76,1,80,Month-to-Month,Bank Transfer,1
    CUST-10117,13,136.09,0.65,4,4,Two-Year,Credit Card,1
    CUST-10118,32,113.49,0.81,2,92,Month-to-Month,Credit Card,1
    CUST-10119,71,96.05,0.14,3,81,Month-to-Month,Electronic Check,1
    CUST-10120,59,109.6,0.35,0,105,Month-to-Month,Electronic Check,1
    CUST-10121,28,142.08,0.42,3,76,Two-Year,Credit Card,1
    CUST-10122,66,52.5,0.27,0,69,Month-to-Month,Electronic Check,0
    CUST-10123,42,89.57,0.65,3,99,One-Year,Credit Card,1
    CUST-10124,45,109.65,0.82,3,102,Month-to-Month,Electronic Check,1
    CUST-10125,62,108.3,0.37,3,103,Month-to-Month,Credit Card,1
    CUST-10126,57,52.8,0.85,6,100,Month-to-Month,Electronic Check,1
    CUST-10127,6,96.28,0.47,2,94,Month-to-Month,Bank Transfer,1
    CUST-10128,28,123.47,0.47,5,63,Month-to-Month,Credit Card,1
    CUST-10129,28,81.76,0.54,4,78,Month-to-Month,Electronic Check,1
    CUST-10130,44,123.13,0.24,2,14,Month-to-Month,Bank Transfer,1
